Id,Layer,Path,CreatedDate,CreatedUser,CreatedUserId,ModifiedDate,ModifiedUser,ModifiedUserId,Title,Description,tendonvi,diachi,vitri,dienthoai,quanhuyen,phuongxa,RLongitude,RLatitude
05d242c0-bef0-4b73-86b9-c4428e8b4bf3,ICTHCM_EDU_THPT,/root/vdms/tangthu/data/gisp/icthcm/customdata/icthcm_edu_thpt/a10e0e00-9dc6-4b57-8b25-6c8f6ecf482a,2022-08-08T15:33:36.000Z,admin,2,2022-08-08T15:33:36.000Z,admin,2,Trường Trung Học Phổ Thông Quốc Tế Canada,hcm_thpt.xlsx,Trường Trung Học Phổ Thông Quốc Tế Canada,86 Đường Số 23,"{""type"":""Point"",""coordinates"":[106.728554,10.714966]}",,Quận 7,Phường Tân Phú,106.728554,10.714966
f3fab8d1-5237-44de-9885-fcfcc581da59,ICTHCM_EDU_THPT,/root/vdms/tangthu/data/gisp/icthcm/customdata/icthcm_edu_thpt/d21bfd67-a4c0-42f5-8c44-4a793c0ec43f,2022-08-08T15:33:37.000Z,admin,2,2022-08-08T15:33:37.000Z,admin,2,Trường Trung Học Phổ Thông Trường Chinh,hcm_thpt.xlsx,Trường Trung Học Phổ Thông Trường Chinh,1 Đường DN11,"{""type"":""Point"",""coordinates"":[106.625743,10.841798]}",37151286,Quận 12,Phường Tân Hưng Thuận,106.625743,10.841798
cb786d3b-cc78-4cea-9c56-1cc579d21cd0,ICTHCM_EDU_THPT,/root/vdms/tangthu/data/gisp/icthcm/customdata/icthcm_edu_thpt/6914715f-50fd-4496-bc91-aac475d94880,2022-08-08T15:33:37.000Z,admin,2,2022-08-08T15:33:37.000Z,admin,2,Trường Trung Học Phổ Thông Văn Lang,hcm_thpt.xlsx,Trường Trung Học Phổ Thông Văn Lang,2-4 Đường Tân Thành,"{""type"":""Point"",""coordinates"":[106.657895,10.756406]}",54052696-54052697-54052698,Quận 5,Phường 12,106.657895,10.756406
f5fbe2b3-f20a-4c4b-910d-dc127cdf4a0d,ICTHCM_EDU_THPT,/root/vdms/tangthu/data/gisp/icthcm/customdata/icthcm_edu_thpt/0c4bc92c-1218-419b-8a34-a764cd77e245,2022-08-08T15:33:42.000Z,admin,2,2022-08-08T15:33:42.000Z,admin,2,Trường Trung Học Phổ Thông Trưng Vương,hcm_thpt.xlsx,Trường Trung Học Phổ Thông Trưng Vương,3 Đường Nguyễn Bỉnh Khiêm,"{""type"":""Point"",""coordinates"":[106.706697,10.785598]}",38297706,Quận 1,Phường Bến Nghé,106.706697,10.785598
2bf0dfb6-403d-40f8-b8c2-174c5459e85e,ICTHCM_EDU_THPT,/root/vdms/tangthu/data/gisp/icthcm/customdata/icthcm_edu_thpt/b7af3609-71df-4461-8527-b54dd6600fed,2022-08-08T15:33:42.000Z,admin,2,2022-08-08T15:33:42.000Z,admin,2,Trường Trung Học Phổ Thông Nguyễn Hữu Tiến,hcm_thpt.xlsx,Trường Trung Học Phổ Thông Nguyễn Hữu Tiến,9A Ấp 7 Đường Đông Thạnh 4,"{""type"":""Point"",""coordinates"":[106.639805,10.905059]}",,Huyện Hóc Môn,Xã Đông Thạnh,106.639805,10.905059
813a7d13-4a7a-4cb1-8ee7-b6f75b02ee7f,ICTHCM_EDU_THPT,/root/vdms/tangthu/data/gisp/icthcm/customdata/icthcm_edu_thpt/8209ce80-95aa-498d-be61-25044b1c0809,2022-08-08T15:32:47.000Z,admin,2,2022-08-08T15:32:47.000Z,admin,2,Trường Trung Học Cơ Sở - Trung Học Phổ Thông Đăng Khoa,hcm_thpt.xlsx,Trường Trung Học Cơ Sở - Trung Học Phổ Thông Đăng Khoa,72 Đường Đặng Văn Ngữ,"{""type"":""Point"",""coordinates"":[106.669496,10.79467]}",62976162,Quận Phú Nhuận,Phường 10,106.669496,10.79467
16e9d4f0-2b5f-4864-bfd6-0aaaa9e81da7,ICTHCM_EDU_THPT,/root/vdms/tangthu/data/gisp/icthcm/customdata/icthcm_edu_thpt/10dc61e7-8c87-4572-bf4c-eb8202f524d2,2022-08-08T15:32:49.000Z,admin,2,2022-08-08T15:32:49.000Z,admin,2,Trường Trung Học Cơ Sở - Trung Học Phổ Thông Phạm Ngũ Lão,hcm_thpt.xlsx,Trường Trung Học Cơ Sở - Trung Học Phổ Thông Phạm Ngũ Lão,29/7 Đường Lê Đức Thọ,"{""type"":""Point"",""coordinates"":[106.681521,10.830969]}",38940753-0967713904-0918402997-0979990064-0974776489-0903886741,Quận Gò Vấp,Phường 7,106.681521,10.830969
2ada75e0-9335-415a-b672-b1701a62528e,ICTHCM_EDU_THPT,/root/vdms/tangthu/data/gisp/icthcm/customdata/icthcm_edu_thpt/6692e121-7cae-40fd-aef2-a976ba8f9f63,2022-08-08T15:32:50.000Z,admin,2,2022-08-08T15:32:50.000Z,admin,2,Trường Trung Học Cơ Sở - Trung Học Phổ Thông Trần Cao Vân,hcm_thpt.xlsx,Trường Trung Học Cơ Sở - Trung Học Phổ Thông Trần Cao Vân,Đường Thạnh Lộc 40,"{""type"":""Point"",""coordinates"":[106.683642,10.882064]}",0902611511,Quận 12,Phường Thạnh Lộc,106.683642,10.882064
bec9b33a-4058-40c9-8321-1e3b3bef0058,ICTHCM_EDU_THPT,/root/vdms/tangthu/data/gisp/icthcm/customdata/icthcm_edu_thpt/4d43a00c-557f-4ac3-abba-c204eeb00d72,2022-08-08T15:32:51.000Z,admin,2,2022-08-08T15:32:51.000Z,admin,2,Trường Trung Học Cơ Sở - Trung Học Phổ Thông Hồng Đức,hcm_thpt.xlsx,Trường Trung Học Cơ Sở - Trung Học Phổ Thông Hồng Đức,118 Đường Nam Hòa,"{""type"":""Point"",""coordinates"":[106.762961,10.827433]}",62808388,Thành Phố Thủ Đức,Phường Phước Long A,106.762961,10.827433
199df890-f074-46fe-9e2d-705d162d253e,ICTHCM_EDU_THPT,/root/vdms/tangthu/data/gisp/icthcm/customdata/icthcm_edu_thpt/bc05f775-a5ab-492b-87cd-f778f610ca08,2022-08-08T15:32:53.000Z,admin,2,2022-08-08T15:32:53.000Z,admin,2,Trường Trung Học Cơ Sở Trung Học Phổ Thông Hoa Sen,hcm_thpt.xlsx,Trường Trung Học Cơ Sở Trung Học Phổ Thông Hoa Sen,190 Đường Võ Văn Ngân,"{""type"":""Point"",""coordinates"":[106.763956,10.85071]}",,Thành Phố Thủ Đức,Phường Bình Thọ,106.763956,10.85071
f13d787d-5da1-40ee-ada9-9db6415367bb,ICTHCM_EDU_THPT,/root/vdms/tangthu/data/gisp/icthcm/customdata/icthcm_edu_thpt/1579f352-5aa6-4120-89a6-bd7e58e7c8f5,2022-08-08T15:33:01.000Z,admin,2,2022-08-08T15:33:01.000Z,admin,2,Trường Trung Học Phổ Thông Chuyên Trần Đại Nghĩa,hcm_thpt.xlsx,Trường Trung Học Phổ Thông Chuyên Trần Đại Nghĩa,Đường Nguyễn Du,"{""type"":""Point"",""coordinates"":[106.700695,10.779726]}",,Quận 1,Phường Bến Nghé,106.700695,10.779726
