Id,Layer,Path,CreatedDate,CreatedUser,CreatedUserId,ModifiedDate,ModifiedUser,ModifiedUserId,Title,Description,Name,tendonvi,diachi,vitri,dienthoai,quanhuyen,phuongxa,RLongitude,RLatitude
01d2629d-bf82-4283-8969-c5357acc9e71,ICTHCM_EDU_TIEUHOC,/root/vdms/tangthu/data/gisp/icthcm/customdata/icthcm_edu_tieuhoc/96f33d1c-2775-436f-adf5-4c2218a05f6c,2022-08-09T01:27:12.000Z,admin,2,2022-08-09T01:27:12.000Z,admin,2,Trường Tiểu Học Phạm Văn Chí,hcm_tieuhoc.xlsx,96f33d1c-2775-436f-adf5-4c2218a05f6c,Trường Tiểu Học Phạm Văn Chí,634 Đường Phạm Văn Chí,"{""type"":""Point"",""coordinates"":[106.639275,10.740694]}",22125372,Quận 6,Phường 8,106.639275,10.740694
f18cf7da-3fb5-4777-b39d-9cdad62979cc,ICTHCM_EDU_TIEUHOC,/root/vdms/tangthu/data/gisp/icthcm/customdata/icthcm_edu_tieuhoc/27ad9038-0b39-42f1-bfa2-616213fe7783,2022-08-09T01:27:22.000Z,admin,2,2022-08-09T01:27:22.000Z,admin,2,Trường Tiểu Học Thái Văn Lung,hcm_tieuhoc.xlsx,27ad9038-0b39-42f1-bfa2-616213fe7783,Trường Tiểu Học Thái Văn Lung,93/6 Đường Tam Châu,"{""type"":""Point"",""coordinates"":[106.744529,10.866296]}",38961758,Thành Phố Thủ Đức,Phường Tam Phú,106.744529,10.866296
bc01954b-5996-455a-b103-13088e5667d4,ICTHCM_EDU_TIEUHOC,/root/vdms/tangthu/data/gisp/icthcm/customdata/icthcm_edu_tieuhoc/4d960635-54a0-4d5b-8309-671fc3b3b755,2022-08-09T01:27:26.000Z,admin,2,2022-08-09T01:27:26.000Z,admin,2,Trường Tiểu Học Tân Hương,hcm_tieuhoc.xlsx,4d960635-54a0-4d5b-8309-671fc3b3b755,Trường Tiểu Học Tân Hương,167/29 Đường Tân Quý,"{""type"":""Point"",""coordinates"":[106.621682,10.793238]}",,Quận Tân Phú,Phường Tân Quý,106.621682,10.793238
9f02030d-7989-444c-b1b7-8b9dd8eadce7,ICTHCM_EDU_TIEUHOC,/root/vdms/tangthu/data/gisp/icthcm/customdata/icthcm_edu_tieuhoc/6a1c4f49-1643-4efd-9f72-135ff2b9b205,2022-08-09T01:27:27.000Z,admin,2,2022-08-09T01:27:27.000Z,admin,2,Trường Tiểu Học Tân Túc 2,hcm_tieuhoc.xlsx,6a1c4f49-1643-4efd-9f72-135ff2b9b205,Trường Tiểu Học Tân Túc 2,Đường Nguyễn Hữu Trí,"{""type"":""Point"",""coordinates"":[106.579476,10.692681]}",,Huyện Bình Chánh,Thị Trấn Tân Túc,106.579476,10.692681
9ec406f9-599c-42cb-aae1-fd6ab4ade9c8,ICTHCM_EDU_TIEUHOC,/root/vdms/tangthu/data/gisp/icthcm/customdata/icthcm_edu_tieuhoc/11044ddc-8e71-47a4-97d6-8d9775f79163,2022-08-09T01:27:27.000Z,admin,2,2022-08-09T01:27:27.000Z,admin,2,Trường Tiểu Học Thuận Kiều,hcm_tieuhoc.xlsx,11044ddc-8e71-47a4-97d6-8d9775f79163,Trường Tiểu Học Thuận Kiều,62/14B Đường Tân Thới Nhất 8,"{""type"":""Point"",""coordinates"":[106.612406,10.833077]}",38833697,Quận 12,Phường Tân Thới Nhất,106.612406,10.833077
fadbade6-77f0-4aed-8ee1-3e8569b2cdba,ICTHCM_EDU_TIEUHOC,/root/vdms/tangthu/data/gisp/icthcm/customdata/icthcm_edu_tieuhoc/84884e98-0f44-49a0-9164-7dea3608c6d6,2022-08-09T01:27:28.000Z,admin,2,2022-08-09T01:27:28.000Z,admin,2,Trường Tiểu Học Sông Lô,hcm_tieuhoc.xlsx,84884e98-0f44-49a0-9164-7dea3608c6d6,Trường Tiểu Học Sông Lô,167 Đường Nguyễn Thị Huỳnh,"{""type"":""Point"",""coordinates"":[106.674828,10.795722]}",38449108,Quận Phú Nhuận,Phường 11,106.674828,10.795722
fd868c75-5acc-493b-828d-58e12dc41dac,ICTHCM_EDU_TIEUHOC,/root/vdms/tangthu/data/gisp/icthcm/customdata/icthcm_edu_tieuhoc/be181b7e-6f4b-4f51-818b-8e068c31e513,2022-08-09T01:27:28.000Z,admin,2,2022-08-09T01:27:28.000Z,admin,2,Trường Tiểu Học Trần Danh Lâm,hcm_tieuhoc.xlsx,be181b7e-6f4b-4f51-818b-8e068c31e513,Trường Tiểu Học Trần Danh Lâm,68 Đường Hưng Phú,"{""type"":""Point"",""coordinates"":[106.681223,10.750652]}",39543915-39556678,Quận 8,Phường 8,106.681223,10.750652
9d9185ab-5166-4b61-bf36-b192a56a3140,ICTHCM_EDU_TIEUHOC,/root/vdms/tangthu/data/gisp/icthcm/customdata/icthcm_edu_tieuhoc/d6ac5ff4-4451-4a60-97b6-dd4e6fcb4ff0,2022-08-09T01:27:29.000Z,admin,2,2022-08-09T01:27:29.000Z,admin,2,Trường Tiểu Học Tân Phú,hcm_tieuhoc.xlsx,d6ac5ff4-4451-4a60-97b6-dd4e6fcb4ff0,Trường Tiểu Học Tân Phú,Đường Hồ Văn Tắng,"{""type"":""Point"",""coordinates"":[106.546491,10.959799]}",,Huyện Củ Chi,Xã Tân Phú Trung,106.546491,10.959799
06843add-8b5b-44c0-bd25-b44b8252326a,ICTHCM_EDU_TIEUHOC,/root/vdms/tangthu/data/gisp/icthcm/customdata/icthcm_edu_tieuhoc/6c6953f8-fce3-4cdc-bc5d-cfc8986caee6,2022-08-09T01:27:32.000Z,admin,2,2022-08-09T01:27:32.000Z,admin,2,Trường Tiểu Học Trần Hưng Đạo,hcm_tieuhoc.xlsx,6c6953f8-fce3-4cdc-bc5d-cfc8986caee6,Trường Tiểu Học Trần Hưng Đạo,Đường Trần Đình Xu,"{""type"":""Point"",""coordinates"":[106.689246,10.761905]}",,Quận 1,Phường Nguyễn Cư Trinh,106.689246,10.761905
36d83a95-9cde-4ffd-bcd1-eb4e35360e06,ICTHCM_EDU_TIEUHOC,/root/vdms/tangthu/data/gisp/icthcm/customdata/icthcm_edu_tieuhoc/6b774a02-cfa6-42e8-abc4-20160e47f7a4,2022-08-09T01:27:32.000Z,admin,2,2022-08-09T01:27:32.000Z,admin,2,Trường Tiểu Học Tân Xuân,hcm_tieuhoc.xlsx,6b774a02-cfa6-42e8-abc4-20160e47f7a4,Trường Tiểu Học Tân Xuân,3/6B Ấp Mỹ Hòa 4,"{""type"":""Point"",""coordinates"":[106.599029,10.863433]}",,Huyện Hóc Môn,Xã Xuân Thới Đông,106.599029,10.863433
