Id,Layer,Path,CreatedDate,CreatedUser,CreatedUserId,ModifiedDate,ModifiedUser,ModifiedUserId,Title,Description,tenbenhvien,hinhthuctochuc,giayphep,ngaycap,diachi,quanhuyen,phuongxa,vitri,ghichu,dienthoai,chuyenmon
90fd9113-4890-4636-9bf3-ebecfd427cee,ICTHCM_BENHVIEN,/root/vdms/tangthu/data/gisp/icthcm/customdata/icthcm_benhvien/0ff1af2c-6a55-4da0-a9ba-3b6be0bfbf0d,2023-08-07T02:53:16.000Z,admin,2,2023-08-07T02:53:16.000Z,admin,2,Bệnh viện Thẩm Mỹ Kangnam,dataexport_8_7_2023_9_11 am.xlsx,Bệnh viện Thẩm Mỹ Kangnam,,,0001-01-01T00:00:00Z,"666 Cách Mạng Tháng Tám, Phường 5, Quận Tân Bình",,,"{""type"":""Point"",""coordinates"":[106.664282,10.787198]}",,,
0ddf10cd-fbcc-4881-b0f3-ccad4f61ff65,ICTHCM_BENHVIEN,/root/vdms/tangthu/data/gisp/icthcm/customdata/icthcm_benhvien/4fd9e34a-5ca0-4287-b517-b7cc1b32ff12,2023-08-07T02:53:19.000Z,admin,2,2023-08-07T02:53:19.000Z,admin,2,Bệnh viện Chợ Rẫy,dataexport_8_7_2023_9_11 am.xlsx,Bệnh viện Chợ Rẫy,,,0001-01-01T00:00:00Z,"201B Nguyễn Chí Thanh, Phường 12, Quận 5",,,"{""type"":""Point"",""coordinates"":[106.659449,10.757953]}",,,
bed2985a-3aec-4be9-80c5-89ea55116846,ICTHCM_BENHVIEN,/root/vdms/tangthu/data/gisp/icthcm/customdata/icthcm_benhvien/ca6cd205-63f7-4f95-8711-a53613f7034b,2023-08-07T02:53:19.000Z,admin,2,2023-08-07T02:53:19.000Z,admin,2,Bệnh viện Quân Dân Y Miền Đông,dataexport_8_7_2023_9_11 am.xlsx,Bệnh viện Quân Dân Y Miền Đông,,,0001-01-01T00:00:00Z,"50 Lê Văn Kiệt, Phường Hiệp Phú, TP. Thủ Đức",,,"{""type"":""Point"",""coordinates"":[106.777924,10.846722]}",,,
9893f750-96da-4299-8449-b5cc21a6fddd,ICTHCM_BENHVIEN,/root/vdms/tangthu/data/gisp/icthcm/customdata/icthcm_benhvien/980485bb-aa21-4521-975d-d9d3d456d103,2023-08-07T02:53:21.000Z,admin,2,2023-08-07T02:53:21.000Z,admin,2,Bệnh viện Thẩm mỹ AVA Văn Lang,dataexport_8_7_2023_9_11 am.xlsx,Bệnh viện Thẩm mỹ AVA Văn Lang,,,0001-01-01T00:00:00Z,"238 Võ Văn Tần, Phường 5, Quận 3",,,"{""type"":""Point"",""coordinates"":[106.686535,10.772566]}",,,
5697e4f9-d47f-46a9-9ca8-b941b4c5730b,ICTHCM_BENHVIEN,/root/vdms/tangthu/data/gisp/icthcm/customdata/icthcm_benhvien/4d272079-612e-40e5-afb4-9f9fce3bc0a2,2023-08-07T02:53:21.000Z,admin,2,2023-08-07T02:53:21.000Z,admin,2,Bệnh viện Hoàn Mỹ Thủ Đức,dataexport_8_7_2023_9_11 am.xlsx,Bệnh viện Hoàn Mỹ Thủ Đức,,,0001-01-01T00:00:00Z,"241 Quốc lộ 1 K, Phường Linh Xuân, TP. Thủ Đức",,,"{""type"":""Point"",""coordinates"":[106.774033,10.886965]}",,,
70a0300b-9ee0-43af-8d3b-eef00c5b8115,ICTHCM_BENHVIEN,/root/vdms/tangthu/data/gisp/icthcm/customdata/icthcm_benhvien/c2ab23a7-02b0-4815-9bf3-42f3ff71c663,2023-08-07T02:53:22.000Z,admin,2,2023-08-07T02:53:22.000Z,admin,2,Bệnh viện 175,dataexport_8_7_2023_9_11 am.xlsx,Bệnh viện 175,,,0001-01-01T00:00:00Z,"786 Nguyễn Kiệm, Phường 3, Quận Gò Vấp",,,"{""type"":""Point"",""coordinates"":[106.678864,10.819892]}",,,
130f1ee1-c9ff-456e-bba0-74c6cedbbeb7,ICTHCM_BENHVIEN,/root/vdms/tangthu/data/gisp/icthcm/customdata/icthcm_benhvien/0d81d440-791d-4e30-95da-82584f1bb766,2023-08-07T02:53:23.000Z,admin,2,2023-08-07T02:53:23.000Z,admin,2,Bệnh viện Mắt Cao Thắng,dataexport_8_7_2023_9_11 am.xlsx,Bệnh viện Mắt Cao Thắng,,,0001-01-01T00:00:00Z,"134B Trần Bình Trọng, Phường 2, Quận 5",,,"{""type"":""Point"",""coordinates"":[106.680895,10.757221]}",,,
16dfe96d-5803-4b2f-8826-0e06b93a39fa,ICTHCM_BENHVIEN,/root/vdms/tangthu/data/gisp/icthcm/customdata/icthcm_benhvien/1b82b800-9f88-4554-874d-d93e80e95111,2023-08-07T02:53:24.000Z,admin,2,2023-08-07T02:53:24.000Z,admin,2,Bệnh viện chuyên khoa PTTM Quốc tế Thảo Điền,dataexport_8_7_2023_9_11 am.xlsx,Bệnh viện chuyên khoa PTTM Quốc tế Thảo Điền,,,0001-01-01T00:00:00Z,"95/3 Thảo điền, Phường Thảo Điền, TP. Thủ Đức",,,"{""type"":""Point"",""coordinates"":[106.733474,10.807416]}",,,
9b8edebc-cee7-4896-a2a3-0a0aaa81ed3e,ICTHCM_BENHVIEN,/root/vdms/tangthu/data/gisp/icthcm/customdata/icthcm_benhvien/4ea3c440-a903-427d-9dbf-c714b1757411,2023-08-07T02:53:25.000Z,admin,2,2023-08-07T02:53:25.000Z,admin,2,Bệnh viện đa khoa khu vực Củ Chi,dataexport_8_7_2023_9_11 am.xlsx,Bệnh viện đa khoa khu vực Củ Chi,,,0001-01-01T00:00:00Z,"đường Nguyễn Văn Hoài, Ấp Bàu Tre, Xã Tân An Hội, huyện Củ Chi",,,"{""type"":""Point"",""coordinates"":[106.47736099999997,10.975003]}",,,
843dda76-6418-4735-8be3-a2a3edbaf2c1,ICTHCM_BENHVIEN,/root/vdms/tangthu/data/gisp/icthcm/customdata/icthcm_benhvien/03dcc94d-8893-4d6e-8249-df334c72472b,2023-08-07T02:52:54.000Z,admin,2,2023-08-07T02:52:54.000Z,admin,2,Bệnh viện Trưng Vương,dataexport_8_7_2023_9_11 am.xlsx,Bệnh viện Trưng Vương,,,0001-01-01T00:00:00Z,"266 Lý Thường Kiệt, phường 14, Quận 10",,,"{""type"":""Point"",""coordinates"":[106.658982,10.767687]}",,,
8997b7b0-fad8-4613-a0b6-898eeb049e1c,ICTHCM_BENHVIEN,/root/vdms/tangthu/data/gisp/icthcm/customdata/icthcm_benhvien/5c90e5ab-45b0-4be1-a305-29baeabe1119,2023-08-07T02:52:55.000Z,admin,2,2023-08-07T02:52:55.000Z,admin,2,Bệnh viện Tâm thần TP.HCM,dataexport_8_7_2023_9_11 am.xlsx,Bệnh viện Tâm thần TP.HCM,,,0001-01-01T00:00:00Z,"766 Võ Văn Kiệt, Phường 1, Quận 5",,,"{""type"":""Point"",""coordinates"":[106.678347,10.752358]}",,,
dd40ffb2-2611-4fb8-a019-d2a0cb8d0618,ICTHCM_BENHVIEN,/root/vdms/tangthu/data/gisp/icthcm/customdata/icthcm_benhvien/8da5ac40-5d95-447a-a60e-7a79d4420637,2023-08-07T02:52:57.000Z,admin,2,2023-08-07T02:52:57.000Z,admin,2,Bệnh viện Bình Dân,dataexport_8_7_2023_9_11 am.xlsx,Bệnh viện Bình Dân,,,0001-01-01T00:00:00Z,"371 Điện Biên Phủ, Phường 4, Quận 3",,,"{""type"":""Point"",""coordinates"":[106.681059,10.774321]}",,,
194da479-2064-452f-93d6-682a289ba584,ICTHCM_BENHVIEN,/root/vdms/tangthu/data/gisp/icthcm/customdata/icthcm_benhvien/da578419-3f8f-4861-9781-fdde658c3ff2,2023-08-07T02:52:58.000Z,admin,2,2023-08-07T02:52:58.000Z,admin,2,Trung tâm Y tế Quận 3,dataexport_8_7_2023_9_11 am.xlsx,Trung tâm Y tế Quận 3,,,0001-01-01T00:00:00Z,"116 Trần Quốc Thảo, Phường 14, Quận 3, Thành phố Hồ Chí Minh",,,"{""type"":""Point"",""coordinates"":[106.678199,10.789893]}",,,
3bf8b90c-dde1-4d2b-9a05-c5d2da3b5de8,ICTHCM_BENHVIEN,/root/vdms/tangthu/data/gisp/icthcm/customdata/icthcm_benhvien/f71506d1-2438-4fe3-a8de-abef447c30cd,2023-08-07T02:52:58.000Z,admin,2,2023-08-07T02:52:58.000Z,admin,2,Bệnh viện Da Liễu TP.HCM,dataexport_8_7_2023_9_11 am.xlsx,Bệnh viện Da Liễu TP.HCM,,,0001-01-01T00:00:00Z,"2 Viễn Thông, Phường 6, Quận 3, TP.HCM",,,"{""type"":""Point"",""coordinates"":[106.691221,10.776342]}",,,
24f6e92a-9874-4803-8b1b-b3cdf9c89c87,ICTHCM_BENHVIEN,/root/vdms/tangthu/data/gisp/icthcm/customdata/icthcm_benhvien/c0f4ddbd-3a23-46c5-a5dd-386afe6e675b,2023-08-07T02:52:59.000Z,admin,2,2023-08-07T02:52:59.000Z,admin,2,Bệnh viện Quận 4,dataexport_8_7_2023_9_11 am.xlsx,Bệnh viện Quận 4,,,0001-01-01T00:00:00Z,"63-65 Bến Vân Đồn, Phường 12, Quận 4",,,"{""type"":""Point"",""coordinates"":[106.70205,10.765439]}",,,
d7224790-0546-4cc5-8d8d-b4d8b46e1986,ICTHCM_BENHVIEN,/root/vdms/tangthu/data/gisp/icthcm/customdata/icthcm_benhvien/45671945-f176-4a64-96cb-cdbfa5403234,2023-08-07T02:53:01.000Z,admin,2,2023-08-07T02:53:01.000Z,admin,2,Bệnh viện Quận Phú Nhuận,dataexport_8_7_2023_9_11 am.xlsx,Bệnh viện Quận Phú Nhuận,,,0001-01-01T00:00:00Z,"274 đường Nguyễn Trọng Tuyển, Phường 8, Quận Phú Nhuận",,,"{""type"":""Point"",""coordinates"":[106.671751,10.797949]}",,,
