Id,Layer,Path,CreatedDate,CreatedUser,CreatedUserId,ModifiedDate,ModifiedUser,ModifiedUserId,Title,Description,Name,dienthoai,diachi,thanhphoquanhuyen,phuongxa,vitritrenbando,donvi
5c707b4a-e739-4128-b84a-ca5e04d13d41,ICTHCM_HCM_CUAHANGTIENLOI,/root/vdms/tangthu/data/gisp/icthcm/customdata/icthcm_hcm_cuahangtienloi/9f40ddf5-f90e-4a98-844e-94f1cd1c31bb,2023-03-27T08:04:38.000Z,admin,2,2023-03-27T08:04:38.000Z,admin,2,VinMart+,cuahangtienloi_vdms_covid19.xlsx,9f40ddf5-f90e-4a98-844e-94f1cd1c31bb,,"Đường DC8, Phường Sơn Kỳ, Quận Tân Phú, Thành Phố Hồ Chí Minh",Quận Tân Phú,,"{""type"":""Point"",""coordinates"":[106.609407663345,10.8053694284597]}",VinMart+
0aa59dfc-b6d5-4a82-bb4c-65b6704d36ba,ICTHCM_HCM_CUAHANGTIENLOI,/root/vdms/tangthu/data/gisp/icthcm/customdata/icthcm_hcm_cuahangtienloi/e6e306bf-1b86-4a4f-8fbc-61476acf56be,2023-03-27T08:04:39.000Z,admin,2,2023-03-27T08:04:39.000Z,admin,2,Vinmart,cuahangtienloi_vdms_covid19.xlsx,e6e306bf-1b86-4a4f-8fbc-61476acf56be,,"336A Đường Lê Hồng Phong, Phường 1, Quận 10, Thành Phố Hồ Chí Minh",Quận 10,,"{""type"":""Point"",""coordinates"":[106.676176,10.763094]}",Vinmart
274744a6-0eef-401e-8831-c754f394a719,ICTHCM_HCM_CUAHANGTIENLOI,/root/vdms/tangthu/data/gisp/icthcm/customdata/icthcm_hcm_cuahangtienloi/860a057f-e777-4841-a54f-af38e87fe5c6,2023-03-27T08:04:40.000Z,admin,2,2023-03-27T08:04:40.000Z,admin,2,Cửa Hàng Tiện Lợi Circle K,cuahangtienloi_vdms_covid19.xlsx,860a057f-e777-4841-a54f-af38e87fe5c6,,"43 Đường Phạm Ngọc Thạch, Phường 6, Quận 3, Thành Phố Hồ Chí Minh",Quận 3,,"{""type"":""Point"",""coordinates"":[106.693441,10.784852]}",Cửa Hàng Tiện Lợi Circle K
f4e59312-726e-4349-bb02-7c4536208ba1,ICTHCM_HCM_CUAHANGTIENLOI,/root/vdms/tangthu/data/gisp/icthcm/customdata/icthcm_hcm_cuahangtienloi/c9159f24-b134-4bc0-aada-5eeafc277817,2023-03-27T08:04:42.000Z,admin,2,2023-03-27T08:04:42.000Z,admin,2,Công Ty Trách Nhiệm Hữu Hạn B - Smart - Cửa Hàng Bsmart Khánh Hội,cuahangtienloi_vdms_covid19.xlsx,c9159f24-b134-4bc0-aada-5eeafc277817,,"288 Đường Khánh Hội, Phường 5, Quận 4, Thành Phố Hồ Chí Minh",Quận 4,,"{""type"":""Point"",""coordinates"":[106.698334,10.759952]}",Công Ty Trách Nhiệm Hữu Hạn B - Smart - Cửa Hàng Bsmart Khánh Hội
934cbb38-5933-44b0-a8ea-351abef9a3f5,ICTHCM_HCM_CUAHANGTIENLOI,/root/vdms/tangthu/data/gisp/icthcm/customdata/icthcm_hcm_cuahangtienloi/d44e1f94-7c20-45c9-b060-a42696f7c44a,2023-03-27T08:04:42.000Z,admin,2,2023-03-27T08:04:42.000Z,admin,2,Bách Hóa Xanh,cuahangtienloi_vdms_covid19.xlsx,d44e1f94-7c20-45c9-b060-a42696f7c44a,,"Đường Tỉnh Lộ 10, Phường Tân Tạo, Quận Bình Tân, Thành Phố Hồ Chí Minh",Quận Bình Tân,,"{""type"":""Point"",""coordinates"":[106.576411215181,10.759392286612]}",Bách Hóa Xanh
046cd922-12c3-4bef-a124-3161145f1568,ICTHCM_HCM_CUAHANGTIENLOI,/root/vdms/tangthu/data/gisp/icthcm/customdata/icthcm_hcm_cuahangtienloi/d9ce6a72-116e-4d5a-8eb3-80d8033c6d66,2023-03-27T08:04:42.000Z,admin,2,2023-03-27T08:04:42.000Z,admin,2,Vissan,cuahangtienloi_vdms_covid19.xlsx,d9ce6a72-116e-4d5a-8eb3-80d8033c6d66,,"Đường Phan Chu Trinh, Phường Bến Thành, Quận 1, Thành Phố Hồ Chí Minh",Quận 1,,"{""type"":""Point"",""coordinates"":[106.6975,10.772228]}",Vissan
7d3273cc-e0c6-42c8-a732-690465d9698e,ICTHCM_HCM_CUAHANGTIENLOI,/root/vdms/tangthu/data/gisp/icthcm/customdata/icthcm_hcm_cuahangtienloi/9d88c84f-cc8b-454c-9b69-b2b89a815ab9,2023-03-27T08:04:45.000Z,admin,2,2023-03-27T08:04:45.000Z,admin,2,Cửa Hàng Tiện Lợi,cuahangtienloi_vdms_covid19.xlsx,9d88c84f-cc8b-454c-9b69-b2b89a815ab9,,"141 Đường Vườn Lài, Phường Phú Thọ Hòa, Quận Tân Phú, Thành Phố Hồ Chí Minh",Quận Tân Phú,,"{""type"":""Point"",""coordinates"":[106.631775,10.787916]}",Cửa Hàng Tiện Lợi
bfd83528-06d4-474c-9eae-6444a7c8ea4b,ICTHCM_HCM_CUAHANGTIENLOI,/root/vdms/tangthu/data/gisp/icthcm/customdata/icthcm_hcm_cuahangtienloi/60cb6c2d-5eb6-4104-9061-bfe9e18e1173,2023-03-27T08:04:46.000Z,admin,2,2023-03-27T08:04:46.000Z,admin,2,Cửa Hàng Tiện Lợi Bách Hóa Xanh,cuahangtienloi_vdms_covid19.xlsx,60cb6c2d-5eb6-4104-9061-bfe9e18e1173,,"690 Hương Lộ 2, Phường Bình Trị Đông A, Quận Bình Tân, Thành Phố Hồ Chí Minh",Quận Bình Tân,,"{""type"":""Point"",""coordinates"":[106.607526,10.767073]}",Cửa Hàng Tiện Lợi Bách Hóa Xanh
b20a165f-4fab-42cc-8759-82dadbc64282,ICTHCM_HCM_CUAHANGTIENLOI,/root/vdms/tangthu/data/gisp/icthcm/customdata/icthcm_hcm_cuahangtienloi/7834f2cd-335f-485e-93c2-11838d88b684,2023-03-27T08:04:47.000Z,admin,2,2023-03-27T08:04:47.000Z,admin,2,Công Ty Cổ Phần Lương Thực Thành Phố Hồ Chí Minh - Cửa Hàng Foodcomart,cuahangtienloi_vdms_covid19.xlsx,7834f2cd-335f-485e-93c2-11838d88b684,,"38 Đường Nguyễn Oanh, Phường 7, Quận Gò Vấp, Thành Phố Hồ Chí Minh",Quận Gò Vấp,,"{""type"":""Point"",""coordinates"":[106.679704,10.827517]}",Công Ty Cổ Phần Lương Thực Thành Phố Hồ Chí Minh - Cửa Hàng Foodcomart
35c24cbd-a6d0-4af6-b75c-efb803fb451c,ICTHCM_HCM_CUAHANGTIENLOI,/root/vdms/tangthu/data/gisp/icthcm/customdata/icthcm_hcm_cuahangtienloi/aaa38d57-f29e-406e-b212-eb682c457216,2023-03-27T08:04:47.000Z,admin,2,2023-03-27T08:04:47.000Z,admin,2,Chi Nhánh Công Ty Trách Nhiệm Hữu Hạn Một Thành Viên Saigon Co.op - Cửa Hàng Co.op Food Thống Nhất,cuahangtienloi_vdms_covid19.xlsx,aaa38d57-f29e-406e-b212-eb682c457216,,"481 (Số Cũ: 259) Đường Thống Nhất, Phường 16, Quận Gò Vấp, Thành Phố Hồ Chí Minh",Quận Gò Vấp,,"{""type"":""Point"",""coordinates"":[106.664719,10.845915]}",Chi Nhánh Công Ty Trách Nhiệm Hữu Hạn Một Thành Viên Saigon Co.op - Cửa Hàng Co.op Food Thống Nhất
